tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Mathematics,1252,University of North Texas,William,,Mance,1799655,3,poor,TEACHER,PROFESSOR,2.0
Engineering,1252,University of North Texas,Sujata,,Mandal,2605857,0,zero,TEACHER,PROFESSOR,N/A
Media Arts,1252,University of North Texas,Stephen,,Mandiberg,2320594,7,average,TEACHER,PROFESSOR,2.7
Spanish,1252,University of North Texas,Olga,,Mandujano,1690112,94,good,TEACHER,PROFESSOR,4.3
Spanish,1252,University of North Texas,Lidia,,Mandujano,2446579,0,zero,TEACHER,PROFESSOR,N/A
Spanish,1252,University of North Texas,Mariacutea,C,Manickam,2283705,1,average,TEACHER,PROFESSOR,3.0
Spanish,1252,University of North Texas,Samuel,,Manickam,1243920,19,good,TEACHER,PROFESSOR,4.2
Communication,1252,University of North Texas,Laura,,Maninger,2368663,1,average,TEACHER,PROFESSOR,3.0
Photography,1252,University of North Texas,Paho,,Mann,1233756,17,good,TEACHER,PROFESSOR,3.5
Statistics,1252,University of North Texas,Allen,,Mann,2049984,43,average,TEACHER,PROFESSOR,2.5
Mathematics,1252,University of North Texas,Allen ,,Mann,2062865,15,average,TEACHER,PROFESSOR,3.3
Finance,1252,University of North Texas,Tomas,,Mantecon,1398398,20,average,TEACHER,PROFESSOR,3.3
Physics,1252,University of North Texas,Jack,,Manuel,2363756,19,good,TEACHER,PROFESSOR,4.3
Logistics,1252,University of North Texas,Ila,,Manuj,1051085,60,average,TEACHER,PROFESSOR,2.9
Engineering,1252,University of North Texas,Maurizio,,Manzo,2375881,7,good,TEACHER,PROFESSOR,3.7
Engineering,1252,University of North Texas,TA,,Maqsood,1427883,1,poor,TEACHER,PROFESSOR,1.0
History,1252,University of North Texas,Ron,,Marcello,253171,18,good,TEACHER,PROFESSOR,4.6
Art,1252,University of North Texas,Julia,Marie,Marcucci,2023704,0,zero,TEACHER,PROFESSOR,N/A
Academic Services,1252,University of North Texas,Alex,Vincent,Mark,2165696,0,zero,TEACHER,PROFESSOR,N/A
Psychology,1252,University of North Texas,Daniel,,Mark,2292080,7,average,TEACHER,PROFESSOR,2.9
Women's Studies,1252,University of North Texas,Gail,,Markle,673653,0,zero,TEACHER,PROFESSOR,N/A
English,1252,University of North Texas,Corey,,Marks,722746,7,good,TEACHER,PROFESSOR,4.8
Army ROTC,1252,University of North Texas,Justin,,Markwordt,2713282,0,zero,TEACHER,PROFESSOR,N/A
Learning Technologies,1252,University of North Texas,Michael,C,Marmon,1912342,0,zero,TEACHER,PROFESSOR,N/A
Chemistry,1252,University of North Texas,Sreekar,Babu,Marpu,2444173,4,good,TEACHER,PROFESSOR,3.5
Accounting,1252,University of North Texas,Blair,,Marquardt,2443314,8,good,TEACHER,PROFESSOR,4.0
Theater,1252,University of North Texas,Donna,,Marquet,2099118,8,good,TEACHER,PROFESSOR,5.0
Languages,1252,University of North Texas,Maria Teresa,,Marrero,38271,24,good,TEACHER,PROFESSOR,3.5
Communication,1252,University of North Texas,Anna,,Marsden,2206245,8,good,TEACHER,PROFESSOR,4.9
Psychology,1252,University of North Texas,Linda,,Marshall,105653,24,poor,TEACHER,PROFESSOR,2.0
Chemistry,1252,University of North Texas,Paul,,Marshall,1006346,9,good,TEACHER,PROFESSOR,4.5
Chemistry,1252,University of North Texas,Jim,,Marshall,1055272,61,good,TEACHER,PROFESSOR,3.7
Political Science,1252,University of North Texas,Michael,,Marshall,1737748,2,good,TEACHER,PROFESSOR,4.0
Chemistry,1252,University of North Texas,James,Lawrence,Marshall,1929496,5,good,TEACHER,PROFESSOR,4.1
Kinesiology,1252,University of North Texas,Dan,,Marshall,2092969,2,good,TEACHER,PROFESSOR,4.5
French,1252,University of North Texas,Justin,,Marshall,2581911,0,zero,TEACHER,PROFESSOR,N/A
Chemistry,1252,University of North Texas,Jan,,Martin,1481671,8,poor,TEACHER,PROFESSOR,1.3
Education,1252,University of North Texas,Teddi,,Martin,1734096,6,good,TEACHER,PROFESSOR,5.0
Mathematics,1252,University of North Texas,James,D,Martin,1775849,6,average,TEACHER,PROFESSOR,2.9
History,1252,University of North Texas,Ian,,Martin,2042906,16,average,TEACHER,PROFESSOR,2.5
Emergency Management,1252,University of North Texas,Brian,,Martin,2228656,2,good,TEACHER,PROFESSOR,4.5
Technical Communication,1252,University of North Texas,Sarah,Elizabeth,Martin,2494869,1,good,TEACHER,PROFESSOR,5.0
"Radio, TV & Film",1252,University of North Texas,Eugene,,Martin,1571681,6,good,TEACHER,PROFESSOR,4.3
Psychology,1252,University of North Texas,Scott,,Martin,807336,10,average,TEACHER,PROFESSOR,3.0
Spanish,1252,University of North Texas,Concepcion,,Martinez,852133,24,good,TEACHER,PROFESSOR,4.2
Economics,1252,University of North Texas,Jose,,Martinez,1261892,20,good,TEACHER,PROFESSOR,3.8
Spanish,1252,University of North Texas,Connie,,Martinez,2450113,7,good,TEACHER,PROFESSOR,4.4
Political Science,1252,University of North Texas,Valerie Jane,,Martinez-Ebers,1455103,28,good,TEACHER,PROFESSOR,3.8
Art Education,1252,University of North Texas,Adriana,,Martinez-Mendoza,1580476,1,good,TEACHER,PROFESSOR,5.0
Marketing,1252,University of North Texas,Erick,,Mas,2433865,0,zero,TEACHER,PROFESSOR,N/A
Chemistry,1252,University of North Texas,Diana,,Mason,399457,50,average,TEACHER,PROFESSOR,3.1
Political Science,1252,University of North Texas,David,T.,Mason,1163109,18,good,TEACHER,PROFESSOR,3.8
English,1252,University of North Texas,Alice,,Mathews,637209,13,good,TEACHER,PROFESSOR,3.5
Speech & Hearing Sciences,1252,University of North Texas,Lauren,H,Mathews,2310595,7,good,TEACHER,PROFESSOR,3.9
Political Science,1252,University of North Texas,Tetsuya,,Matsubayashi,1090760,15,average,TEACHER,PROFESSOR,3.2
English,1252,University of North Texas,Takuya,,Matsuda,2072898,13,good,TEACHER,PROFESSOR,4.3
Physics,1252,University of North Texas,Sam,,Matteson,665229,32,average,TEACHER,PROFESSOR,2.7
Art & Design,1252,University of North Texas,John,,Matthew,2730217,0,zero,TEACHER,PROFESSOR,N/A
English,1252,University of North Texas,Elise,,Matthews,1857867,2,average,TEACHER,PROFESSOR,3.0
Audiology,1252,University of North Texas,Lauren,,Matthews,2372548,1,good,TEACHER,PROFESSOR,5.0
Physics,1252,University of North Texas,Jorden,,Matty,2480623,5,good,TEACHER,PROFESSOR,3.6
Physical Ed,1252,University of North Texas,James,,Maughan,431749,3,good,TEACHER,PROFESSOR,3.8
Hospitality,1252,University of North Texas,Marvel,,Maunder,1381412,5,good,TEACHER,PROFESSOR,4.6
Geography,1252,University of North Texas,George,,Maxey,690769,54,good,TEACHER,PROFESSOR,4.1
Business,1252,University of North Texas,Jamila,S,Maxie,2612256,11,poor,TEACHER,PROFESSOR,1.5
History,1252,University of North Texas,Lisa,,Maxwell,1168931,3,good,TEACHER,PROFESSOR,5.0
